DATA_ZESTAWIENIA;TYP_SUBSKRYBENTA;TYP_KREDYTU;LICZBA_KREDYTOW;KWOTA_KREDYTOW;KWOTA_DO_SPLATY;LICZBA_KREDYTOW_DEF01;LICZBA_KREDYTOW_DEF30;LICZBA_KREDYTOW_DEF90;KWOTA_DO_SPLATY_DEF01;KWOTA_DO_SPLATY_DEF30;KWOTA_DO_SPLATY_DEF90;LICZBA_KLIENTOW;LICZBA_KLIENTOW_DEF2
2018-02-28 00:00:00;;Po¿yczki pozabankowe;906106;;3090459439;;289022;195963;;935512166;623178770;;
2018-02-28 00:00:00;;Ratalne;4792856,99999999999999999999999999999976;;17326474091,85476;;337333,999999999999999999999999999999998;286975;;2165177295,3079;1996247697,4555;;
2018-03-31 00:00:00;;Gotówkowe;7800299,99999999999999999999999999999901;;137004453110,418978;;1008252,99999999999999999999999999999992;895669,999999999999999999999999999999936;;20941763947,5326;18512612657,4226;;
2018-03-31 00:00:00;;Karty kredytowe;6370246,99999999999999999999999999999999;;13322998207;;361534,999999999999999999999999999999999;297449;;1266729144;1119441757;;
2018-03-31 00:00:00;;Limity;6044081,99999999999999999999999999999904;;9847838720,27929999999999999999999999976;;223078;202133;;1037381833,7929;969009783,7929;;
2018-03-31 00:00:00;;Mieszkaniowe;2352516,99999999999999999999999999999222;;408559977510,491539999999999999999999989;;42322,9999999999999999999999999999999997;31500,9999999999999999999999999999999997;;14547900509,266993;11840902480,588777;;
2018-03-31 00:00:00;;Po¿yczki pozabankowe;947880;;3287671579;;288811;193184;;961906225;633466975;;
2018-03-31 00:00:00;;Ratalne;4807600,99999999999999999999999999999976;;17444704152,457133;;339421,999999999999999999999999999999999;289892;;2151569589,7177;1989411653,1448;;
2018-04-30 00:00:00;;Gotówkowe;7842651,99999999999999999999999999999898;;138825399719,752502;;1012518,99999999999999999999999999999993;898287,999999999999999999999999999999939;;21496732261,825634;18971163420,0988;;
2018-04-30 00:00:00;;Karty kredytowe;6339978,99999999999999999999999999999999;;13517455727;;342826;283875;;1254856333;1100305959;;
2018-04-30 00:00:00;;Limity;6038745,99999999999999999999999999999905;;9931243570,41919999999999999999999999975;;225005;200495;;1033710367,1556;959290150,1556;;
2018-04-30 00:00:00;;Mieszkaniowe;2361445,99999999999999999999999999999222;;408795209305,332595999999999999999999981;;43055,9999999999999999999999999999999997;31644,9999999999999999999999999999999997;;14751193663,807229;11937835275,049117;;
2018-04-30 00:00:00;;Po¿yczki pozabankowe;960558;;3406815818;;288832;213713;;1007772912;717775839;;
2018-04-30 00:00:00;;Ratalne;4815573,99999999999999999999999999999975;;17432674943,492193;;339701,999999999999999999999999999999998;285658;;2140953675,402;1975224442,7492;;
2018-05-31 00:00:00;;Gotówkowe;7913911,99999999999999999999999999999901;;140738480293,08012;;1029724,99999999999999999999999999999992;913390,999999999999999999999999999999937;;22112592871,51796;19453208324,8193;;
2018-05-31 00:00:00;;Karty kredytowe;6347782,99999999999999999999999999999999;;13764265628;;344983;288536;;1271977170;1121349797;;
2018-05-31 00:00:00;;Limity;6039537,99999999999999999999999999999905;;10237805322,2274999999999999999999999998;;226705;203698;;1052955246,28;975929994,28;;
2018-05-31 00:00:00;;Mieszkaniowe;2369817,99999999999999999999999999999223;;418125820230,398749999999999999999999981;;45022,9999999999999999999999999999999997;32250,9999999999999999999999999999999997;;15680380864,19878;12339699117,095885;;
2018-05-31 00:00:00;;Po¿yczki pozabankowe;1001743;;3621870167;;301152;223852;;1086227973;778631539;;
2018-05-31 00:00:00;;Ratalne;4818430,99999999999999999999999999999977;;17548599021,2904649999999999999999999999;;351813,999999999999999999999999999999999;291431;;2225433794,3161;2005090193,2988;;
2018-06-30 00:00:00;;Gotówkowe;7946059,999999999999999999999999999999;;141796039867,04224;;1004295,99999999999999999999999999999993;889552,999999999999999999999999999999939;;21767314246,27384;19213072890,38504;;
2018-06-30 00:00:00;;Karty kredytowe;6357114,99999999999999999999999999999999;;13789632518;;341916,999999999999999999999999999999999;284398;;1279791348;1127981446;;
2018-06-30 00:00:00;;Limity;6028003,99999999999999999999999999999905;;10005739142,8372999999999999999999999998;;216847;196709;;1025739149,456;957055177,456;;
2018-06-30 00:00:00;;Mieszkaniowe;2375943,99999999999999999999999999999226;;420250083012,779959999999999999999999998;;43695,9999999999999999999999999999999997;31976,9999999999999999999999999999999998;;15164922866,32006;12196396398,71586;;
2018-06-30 00:00:00;;Po¿yczki pozabankowe;1019915;;3816866806;;302927;221554;;1096697098;767093276;;
2018-06-30 00:00:00;;Ratalne;4828252,99999999999999999999999999999976;;17560414914,40178;;355970,999999999999999999999999999999998;287886;;2139253305,0373;1969707157,3128;;
2018-07-31 00:00:00;;Gotówkowe;8010473,99999999999999999999999999999899;;143289121106,125788;;1014406,99999999999999999999999999999993;899197,999999999999999999999999999999941;;22095170797,298341;19535176827,343241;;
2018-07-31 00:00:00;;Karty kredytowe;6352656,99999999999999999999999999999999;;13831936542;;336219;280713;;1280264604;1127636046;;
2018-07-31 00:00:00;;Limity;6031383,99999999999999999999999999999905;;10231652814,7615999999999999999999999999;;225352;199458;;1054414281,2359;973501190,2359;;
2018-07-31 00:00:00;;Mieszkaniowe;2383980,99999999999999999999999999999226;;419329680391,010129000000000000000000002;;44190,9999999999999999999999999999999997;32233,9999999999999999999999999999999997;;15224291660,948939;12300785465,20217;;
2018-07-31 00:00:00;;Po¿yczki pozabankowe;998610;;3834012330;;288956;201204;;1097100398;746031220;;
2018-07-31 00:00:00;;Ratalne;4830659,99999999999999999999999999999978;;17572913799,398575;;364023,999999999999999999999999999999999;296697;;2120582465,0103;1961667112,6413;;
2018-08-31 00:00:00;;Gotówkowe;8069705,99999999999999999999999999999901;;144716375210,51465;;1024067,99999999999999999999999999999993;907016,99999999999999999999999999999994;;22534184875,0296;19944054253,9176;;
2018-08-31 00:00:00;;Karty kredytowe;6349839,99999999999999999999999999999999;;13940086581;;338255;284133;;1300246643;1146087599;;
2018-08-31 00:00:00;;Limity;6031829,99999999999999999999999999999905;;10263051936,0844;;220656;195345;;1033164767,5968;955507360,5968;;
2018-08-31 00:00:00;;Mieszkaniowe;2391700,99999999999999999999999999999229;;424531724213,670525;;44689,9999999999999999999999999999999997;32575,9999999999999999999999999999999998;;15571052036,6147;12522002425,8363;;
2018-08-31 00:00:00;;Po¿yczki pozabankowe;1017872;;3944738984;;299140;209221;;1167750747;801780849;;
2018-08-31 00:00:00;;Ratalne;4847333,99999999999999999999999999999979;;17708147531,438625;;370879,999999999999999999999999999999997;308397;;2141331189,7912;1981712689,6489;;
2018-09-30 00:00:00;;Gotówkowe;8060429,999999999999999999999999999999;;145571007961,667108;;991366,99999999999999999999999999999993;876545,999999999999999999999999999999945;;22218715859,543761;19651674670,244361;;
2018-09-30 00:00:00;;Karty kredytowe;6334780,99999999999999999999999999999999;;13874527362;;328350;274826;;1269939855;1113902490;;
2018-09-30 00:00:00;;Limity;6031114,99999999999999999999999999999905;;10282883403,3741999999999999999999999998;;217689;195453;;1023685189,7608;956768002,7608;;
2018-09-30 00:00:00;;Mieszkaniowe;2397713,99999999999999999999999999999228;;424758264418,170279999999999999999999978;;42749,9999999999999999999999999999999997;31222,9999999999999999999999999999999997;;15078365677,18836;12100089799,526544;;
2018-09-30 00:00:00;;Po¿yczki pozabankowe;1034629;;4043819999;;316062;226365;;1245562985;878645698;;
2018-09-30 00:00:00;;Ratalne;4832344,99999999999999999999999999999977;;17656352385,5670999999999999999999999999;;367356,999999999999999999999999999999997;306811;;2098043621,4824;1936506518,885;;
2018-10-31 00:00:00;;Gotówkowe;8102415,99999999999999999999999999999902;;146898732212,552835;;994881,999999999999999999999999999999925;880944,999999999999999999999999999999938;;22472598040,5465999999999999999999999999;19921188606,0878;;
2018-10-31 00:00:00;;Karty kredytowe;6335439,99999999999999999999999999999999;;13947403368;;326235;273265;;1266371549;1115089857;;
2018-10-31 00:00:00;;Limity;6029514,99999999999999999999999999999904;;10360291876,3417999999999999999999999998;;221138;196925;;1036566185,0982;963319402,0982;;
2018-10-31 00:00:00;;Mieszkaniowe;2406282,99999999999999999999999999999229;;427560318556,145085999999999999999999988;;42611,9999999999999999999999999999999997;31475,9999999999999999999999999999999997;;15089112316,391744;12213334504,120876;;
2018-10-31 00:00:00;;Po¿yczki pozabankowe;1060884;;4103739666;;326359;239296;;1309673367;943660367;;
2018-10-31 00:00:00;;Ratalne;4773305,99999999999999999999999999999977;;17573664977,304365;;332941;283114;;2046081307,0028;1897027253,5122;;
2018-11-30 00:00:00;;Gotówkowe;8137526,99999999999999999999999999999903;;148043321057,68498;;1007814,99999999999999999999999999999993;889495,999999999999999999999999999999941;;22984544569,8696;20261476511,2404;;
2018-11-30 00:00:00;;Karty kredytowe;6347538,99999999999999999999999999999999;;14089057137;;325989;271701;;1236169106;1079919523;;
2018-11-30 00:00:00;;Limity;6023461,99999999999999999999999999999905;;10246105624,4848;;215503;194264;;982502405,4848;916078463,4848;;
2018-11-30 00:00:00;;Mieszkaniowe;2412934,9999999999999999999999999999923;;429539225865,201110000000000000000000019;;43194,9999999999999999999999999999999997;31367,9999999999999999999999999999999997;;15254845423,41906;12254699316,40932;;
2018-11-30 00:00:00;;Po¿yczki pozabankowe;1060387;;4320016138;;325725;237734;;1350482781;972405568;;
2018-11-30 00:00:00;;Ratalne;4816909,99999999999999999999999999999977;;17717544321,12588;;335636,999999999999999999999999999999999;284160;;2059521843,9096;1909815074,2312;;
2018-12-31 00:00:00;;Gotówkowe;8116276,99999999999999999999999999999901;;148423979012,358048;;988619,999999999999999999999999999999926;867604,999999999999999999999999999999942;;22844466065,3826;20090378852,7494;;
2018-12-31 00:00:00;;Karty kredytowe;6335061,99999999999999999999999999999999;;14199383920;;314263;259091;;1237786409;1078859410;;
2018-12-31 00:00:00;;Limity;6009713,99999999999999999999999999999905;;10179511982,9780999999999999999999999998;;219349;193906;;983518059,9781;899815355,9781;;
2018-12-31 00:00:00;;Mieszkaniowe;2416638,99999999999999999999999999999228;;431448245632,389568000000000000000000009;;42630,9999999999999999999999999999999997;30223,9999999999999999999999999999999997;;15168180442,46036;11966379891,95048;;
2018-12-31 00:00:00;;Po¿yczki pozabankowe;1066056;;4416832295;;319645;228174;;1322286059;933296946;;
2018-12-31 00:00:00;;Ratalne;4892199,99999999999999999999999999999975;;17985709783,347048;;324339;271508;;2055946898,3901;1907232587,9633;;
2019-01-31 00:00:00;;Gotówkowe;8139231,99999999999999999999999999999902;;149300831303,335826;;997636,999999999999999999999999999999926;877720,999999999999999999999999999999942;;23335741589,9172;20556091570,8126;;
2019-01-31 00:00:00;;Karty kredytowe;6340252,99999999999999999999999999999999;;14075146657;;313985;261004;;1254986897;1099166738;;
2019-01-31 00:00:00;;Limity;6003026,99999999999999999999999999999904;;10284350067,5279999999999999999999999999;;218888;193582;;983073432,528;899283317,528;;
2019-01-31 00:00:00;;Mieszkaniowe;2421867,99999999999999999999999999999232;;430736341957,437259000000000000000000022;;43282,9999999999999999999999999999999997;30576,9999999999999999999999999999999997;;15354029816,310342;12070472293,227961;;
2019-01-31 00:00:00;;Po¿yczki pozabankowe;1077201;;4501177009;;317118;230406;;1375679825;988959859;;
2019-01-31 00:00:00;;Ratalne;4900577,99999999999999999999999999999977;;17984384132,661593;;322809;272244;;2096817297,9376;1919136550,0191;;
2019-02-28 00:00:00;;Gotówkowe;8145455,99999999999999999999999999999902;;150514563551,667759;;995655,999999999999999999999999999999924;881347,999999999999999999999999999999938;;23388181169,4086999999999999999999999999;20736795278,2030999999999999999999999999;;
2019-02-28 00:00:00;;Karty kredytowe;6360896,99999999999999999999999999999999;;14121580383;;310794;263289;;1265086910;1115675140;;
2019-02-28 00:00:00;;Limity;5994463,99999999999999999999999999999906;;9949083185,01579999999999999999999999985;;214448;193917;;974807745,0158;904922711,0158;;
2019-02-28 00:00:00;;Mieszkaniowe;2428619,99999999999999999999999999999231;;433344098458,818451999999999999999999996;;41964,9999999999999999999999999999999997;30393,9999999999999999999999999999999997;;15053399067,495659;12151053082,096547;;
2019-02-28 00:00:00;;Po¿yczki pozabankowe;1081254;;4499728427;;324116;239214;;1408373728;1028646620;;
2019-02-28 00:00:00;;Ratalne;4848321,99999999999999999999999999999976;;17990424535,757683;;320609;274611;;2075987370,6652;1938203115,6877;;
2019-03-31 00:00:00;;Gotówkowe;8150082,999999999999999999999999999999;;152231394298,054875;;983703,999999999999999999999999999999924;872414,999999999999999999999999999999937;;23440755026,2729;20799635199,1434;;
2019-03-31 00:00:00;;Karty kredytowe;6376666,99999999999999999999999999999999;;13993487891;;309500;260664;;1267474437;1113290883;;
2019-03-31 00:00:00;;Limity;5981971,99999999999999999999999999999905;;9939821509,19449999999999999999999999984;;216195;192728;;965590506,1945;893388016,1945;;
2019-03-31 00:00:00;;Mieszkaniowe;2436788,99999999999999999999999999999231;;436516385430,534124999999999999999999997;;41039,9999999999999999999999999999999997;29824,9999999999999999999999999999999997;;14958699443,919425;12119623040,66725;;
