DATA_UMOWY;TYP_SUBSKRYBENTA;TYP_KREDYTU;LICZBA_KREDYTOW;KWOTA_KREDYTOW
2019-12-01 00:00:00;;Ratalne;423299;1536563349
2020-01-01 00:00:00;;Gotówkowe;282551;5409713431
2020-01-01 00:00:00;;Karty kredytowe;77412;510987604
2020-01-01 00:00:00;;Limity;53474;276661492
2020-01-01 00:00:00;;Mieszkaniowe;18843;5377363132,9188
2020-01-01 00:00:00;;Po¿yczki pozabankowe;237705;582550914
2020-01-01 00:00:00;;Ratalne;266899;1122129893
2020-02-01 00:00:00;;Gotówkowe;267834;5585826011
2020-02-01 00:00:00;;Karty kredytowe;78870;515606311
2020-02-01 00:00:00;;Limity;47483;244434034
2020-02-01 00:00:00;;Mieszkaniowe;19675;5628827894,7447
2020-02-01 00:00:00;;Po¿yczki pozabankowe;214251;526973245
2020-02-01 00:00:00;;Ratalne;276645;1161896819
2020-03-01 00:00:00;;Gotówkowe;211910;4508028014
2020-03-01 00:00:00;;Karty kredytowe;54436;343285383
2020-03-01 00:00:00;;Limity;34751;202498022
2020-03-01 00:00:00;;Mieszkaniowe;20944;6214608231,1931
2020-03-01 00:00:00;;Po¿yczki pozabankowe;179308;444393460
2020-03-01 00:00:00;;Ratalne;234888;965342588
2020-04-01 00:00:00;;Gotówkowe;117111;2309438467,0707
2020-04-01 00:00:00;;Karty kredytowe;35702;197564443
2020-04-01 00:00:00;;Limity;18935;119709483
2020-04-01 00:00:00;;Mieszkaniowe;17124;5114967099,5959
2020-04-01 00:00:00;;Po¿yczki pozabankowe;98479;204960028
2020-04-01 00:00:00;;Ratalne;208149;702222384
2020-05-01 00:00:00;;Gotówkowe;174401;3268945193
2020-05-01 00:00:00;;Karty kredytowe;55945;276119377
2020-05-01 00:00:00;;Limity;27685;157370497
2020-05-01 00:00:00;;Mieszkaniowe;15857;4696960661,8163
2020-05-01 00:00:00;;Po¿yczki pozabankowe;123241;251246793
2020-05-01 00:00:00;;Ratalne;307647;1084617885
2020-06-01 00:00:00;;Gotówkowe;232325;4295714112,2648
2020-06-01 00:00:00;;Karty kredytowe;60653;308136696
2020-06-01 00:00:00;;Limity;35977;178404127
2020-06-01 00:00:00;;Mieszkaniowe;15298;4316323238,6009
2020-06-01 00:00:00;;Po¿yczki pozabankowe;140502;304329401
2020-06-01 00:00:00;;Ratalne;317296;1280792584
2020-07-01 00:00:00;;Gotówkowe;253224;4662710150
2020-07-01 00:00:00;;Karty kredytowe;65762;380594019
2020-07-01 00:00:00;;Limity;45367;194815563
2020-07-01 00:00:00;;Mieszkaniowe;16999;4746560847,9186
2020-07-01 00:00:00;;Po¿yczki pozabankowe;160072;371722412
2020-07-01 00:00:00;;Ratalne;298264;1294773861
2020-08-01 00:00:00;;Gotówkowe;226619;4219097740
2020-08-01 00:00:00;;Karty kredytowe;55822;331645696
2020-08-01 00:00:00;;Limity;42048;177673761
2020-08-01 00:00:00;;Mieszkaniowe;16054;4541988745,9242
2020-08-01 00:00:00;;Po¿yczki pozabankowe;160321;383195371
2020-08-01 00:00:00;;Ratalne;339964;1444765141
2020-09-01 00:00:00;;Gotówkowe;243747;4770203851
2020-09-01 00:00:00;;Karty kredytowe;68840;423675235
2020-09-01 00:00:00;;Limity;45764;197275111
2020-09-01 00:00:00;;Mieszkaniowe;19222;5552559850,4922
2020-09-01 00:00:00;;Po¿yczki pozabankowe;166732;398454096
2020-09-01 00:00:00;;Ratalne;303187;1285458645
2020-10-01 00:00:00;;Gotówkowe;217942;4423180685
2020-10-01 00:00:00;;Karty kredytowe;62708;379174110
2020-10-01 00:00:00;;Limity;41469;186421431
2020-10-01 00:00:00;;Mieszkaniowe;19869;5855716083,7545
2020-10-01 00:00:00;;Po¿yczki pozabankowe;174735;417294770
2020-10-01 00:00:00;;Ratalne;341980;1450801246
2020-11-01 00:00:00;;Gotówkowe;197650;3915936158
2020-11-01 00:00:00;;Karty kredytowe;55183;319190058
2020-11-01 00:00:00;;Limity;33262;145470845
2020-11-01 00:00:00;;Mieszkaniowe;18196;5436938405,4665
2020-11-01 00:00:00;;Po¿yczki pozabankowe;188561;430481013
2020-11-01 00:00:00;;Ratalne;394783;1553786784
2020-12-01 00:00:00;;Gotówkowe;212635;4084988156,0266
2020-12-01 00:00:00;;Karty kredytowe;57631;344784111
2020-12-01 00:00:00;;Limity;33638;149431401
2020-12-01 00:00:00;;Mieszkaniowe;18199;5561227783,5627
2020-12-01 00:00:00;;Po¿yczki pozabankowe;209649;486000956
2020-12-01 00:00:00;;Ratalne;392930;1503023024
2021-01-01 00:00:00;;Gotówkowe;187591;3965002820
2021-01-01 00:00:00;;Karty kredytowe;50279;310322113
2021-01-01 00:00:00;;Limity;35477;157093829
2021-01-01 00:00:00;;Mieszkaniowe;16584;5063996225,2769
2021-01-01 00:00:00;;Po¿yczki pozabankowe;184938;450217464
2021-01-01 00:00:00;;Ratalne;260375;1131754000
2021-02-01 00:00:00;;Gotówkowe;210129;4645772876
2021-02-01 00:00:00;;Karty kredytowe;58535;360031282
2021-02-01 00:00:00;;Limity;38943,6;173681604,66
2021-02-01 00:00:00;;Mieszkaniowe;19341,84;5903116611,167598
2021-02-01 00:00:00;;Po¿yczki pozabankowe;179608;449179480
2021-02-01 00:00:00;;Ratalne;276268;1268952093
2021-03-01 00:00:00;;Gotówkowe;252007;5759422854
2021-03-01 00:00:00;;Karty kredytowe;66384;417583914,915
2021-03-01 00:00:00;;Limity;42984,95;194847036,23
2021-03-01 00:00:00;;Mieszkaniowe;23635,125;7278045639,507997
2021-03-01 00:00:00;;Po¿yczki pozabankowe;193917;500087606
2021-03-01 00:00:00;;Ratalne;354722;1671592639,29
